endpoint,metric,oq_wcv,oq_ci_lo,oq_ci_hi,pcct_wcv,pcct_ci_lo,pcct_ci_hi,ci_overlap
Lumen Volume (mm³),log-wCV,7.5,5.9,9.3,10.23,6.62,13.04,YES
Wall Volume (mm³),log-wCV,13.1,10.2,16.0,13.01,8.78,16.52,YES
Vessel Volume (mm³),log-wCV,8.7,6.8,10.6,8.98,6.48,11.23,YES
Vessel Length (mm),untransf-wCV,13.88,10.72,17.38,0.00,0.00,0.00,NO
CALC Volume (mm³),untransf-wCV,25.78,18.7,35.75,24.09,14.51,32.37,YES
CALC Volume (mm³),log-wCV,4.5,3.5,5.4,6.39,3.67,8.48,YES
LRNC Volume (mm³),untransf-wCV,78.8,48.09,163.4,95.66,49.05,165.86,YES
LRNC Volume (mm³),log-wCV,5.4,4.1,6.9,6.27,2.75,9.46,YES
NonCALC Matrix Volume (mm³),untransf-wCV,32.61,24.87,41.94,45.73,31.23,57.18,YES
NonCALC Matrix Volume (mm³),log-wCV,13.6,10.8,16.4,18.36,13.35,22.01,YES
Total Plaque Volume (mm³),untransf-wCV,27.08,20.68,34.74,35.77,22.74,46.10,YES
Total Plaque Volume (mm³),log-wCV,13.2,10.4,16.0,15.80,10.85,19.75,YES
